,년도,수출중량,수입중량,수출금액,수입금액,수출중량증감율(%),수입중량증감율(%),수입금액증감율(%),수입금액증감율(%)
0,2000.0,116.0,76113.9,1388.0,112533.0,,,,
1,2001.0,172.5,75185.5,1396.0,72249.0,0.4870689655172413,-0.012197509259149752,0.0057636887608070175,-0.3579749940017595
2,2002.0,350.6,80233.1,3538.0,71423.0,1.0324637681159423,0.06713528539412517,1.5343839541547277,-0.011432684189400577
3,2003.0,327.6,75330.7,1643.0,78597.0,-0.06560182544209925,-0.06110196415195235,-0.5356133408705483,0.10044383461910034
4,2004.0,65.1,84216.5,777.0,96074.0,-0.8012820512820513,0.11795722062850866,-0.527084601339014,0.22236217667340985
5,2005.0,198.7,85031.7,1774.0,140604.0,2.0522273425499233,0.009679813338241194,1.2831402831402832,0.463496887815642
6,2006.0,144.3,86593.9,1814.0,162736.0,-0.2737795671867136,0.01837197186461048,0.022547914317925688,0.15740661716594118
7,2007.0,213.8,87344.7,2052.0,203934.0,0.48163548163548153,0.008670356687942249,0.13120176405733197,0.25315848982400935
8,2008.0,120.3,102086.2,1944.0,289254.0,-0.43732460243217963,0.16877383516114897,-0.052631578947368474,0.4183706493277237
9,2009.0,800.0,100575.8,4688.0,276284.0,5.6500415627597675,-0.014795339624748438,1.4115226337448559,-0.04483948363721846
10,2010.0,3989.6,111624.8,15169.0,371612.0,3.987,0.10985744085555371,2.23570819112628,0.34503626702957835
11,2011.0,7222.5,121855.2,30795.0,618626.0,0.8103318628433929,0.09164988425511167,1.0301272331729185,0.6647094281131933
12,2012.0,2292.9,106118.6,13471.0,477206.0,-0.6825337487019729,-0.12914180108850493,-0.5625588569572982,-0.22860338880034137
13,2013.0,1237.2,114351.7,8383.0,415479.0,-0.4604213005364386,0.07758394852551764,-0.3777002449706778,-0.12935084638499939
14,2014.0,454.0,133732.0,4514.0,527290.0,-0.6330423537019075,0.16947977161686278,-0.46152928545866634,0.26911348106643174
15,2015.0,344.9,137794.6,4199.0,547094.0,-0.24030837004405292,0.030378667783327984,-0.06978289765175016,0.03755807999393124
16,2016.0,410.1,153029.5,3323.0,562774.0,0.1890403015366775,0.11056238778587835,-0.20862110026196712,0.028660522688971124
17,2017.0,498.1,159309.3,3752.0,655344.0,0.2145818093148013,0.04103653217190151,0.12910021065302435,0.16448876458400719
18,2018.0,419.8,158385.4,4776.0,637288.0,-0.157197349929733,-0.005799410329465959,0.27292110874200426,-0.027551942186088474
19,2019.0,590.1,167653.7,4050.0,661673.0,0.4056693663649358,0.058517388597686626,-0.15201005025125625,0.03826370494972453
